DoctorID,Region,Specialization,Disease,Drug,NumPrescriptions
Doc_1,Kolkata,Pulmonologist,Skin Infection,Mupirocin,224
Doc_1,Kolkata,Pulmonologist,Diabetes,Metformin,468
Doc_1,Kolkata,Pulmonologist,Hypertension,Metoprolol,109
Doc_1,Kolkata,Pulmonologist,Liver Disease,Silymarin,159
Doc_1,Kolkata,Pulmonologist,Stroke,Clopidogrel,267
Doc_2,Hyderabad,Endocrinologist,Asthma,Salbutamol,354
Doc_2,Hyderabad,Endocrinologist,Stroke,Warfarin,484
Doc_2,Hyderabad,Endocrinologist,Cancer,Paclitaxel,179
Doc_2,Hyderabad,Endocrinologist,Liver Disease,Ursodeoxycholic Acid,199
Doc_3,Delhi,Pulmonologist,Hypertension,Metoprolol,338
Doc_3,Delhi,Pulmonologist,Cancer,Cisplatin,283
Doc_3,Delhi,Pulmonologist,Skin Infection,Clindamycin,325
Doc_3,Delhi,Pulmonologist,Stroke,Clopidogrel,251
Doc_4,Jaipur,Endocrinologist,Heart Disease,Clopidogrel,440
Doc_4,Jaipur,Endocrinologist,Liver Disease,Silymarin,215
Doc_4,Jaipur,Endocrinologist,Diabetes,Glipizide,429
Doc_4,Jaipur,Endocrinologist,Asthma,Budesonide,369
Doc_4,Jaipur,Endocrinologist,Stroke,Clopidogrel,399
Doc_5,Lucknow,Pulmonologist,Diabetes,Glipizide,493
Doc_5,Lucknow,Pulmonologist,Asthma,Montelukast,360
Doc_5,Lucknow,Pulmonologist,Heart Disease,Aspirin,465
Doc_5,Lucknow,Pulmonologist,Stroke,Alteplase,224
Doc_5,Lucknow,Pulmonologist,Skin Infection,Amoxicillin,199
Doc_6,Pune,Oncologist,Cancer,Paclitaxel,166
Doc_6,Pune,Oncologist,Asthma,Salbutamol,310
Doc_6,Pune,Oncologist,Stroke,Warfarin,354
Doc_6,Pune,Oncologist,Heart Disease,Atorvastatin,18
Doc_6,Pune,Oncologist,Skin Infection,Mupirocin,145
Doc_7,Delhi,Cardiologist,Cancer,Paclitaxel,50
Doc_7,Delhi,Cardiologist,Skin Infection,Clindamycin,210
Doc_7,Delhi,Cardiologist,Stroke,Warfarin,42
Doc_8,Kolkata,Neurologist,Hypertension,Metoprolol,110
Doc_8,Kolkata,Neurologist,Cancer,Paclitaxel,471
Doc_8,Kolkata,Neurologist,Diabetes,Metformin,266
Doc_8,Kolkata,Neurologist,Heart Disease,Clopidogrel,227
Doc_8,Kolkata,Neurologist,Liver Disease,Ursodeoxycholic Acid,264
Doc_9,Kolkata,General Physician,Heart Disease,Clopidogrel,72
Doc_10,Mumbai,Pulmonologist,Hypertension,Metoprolol,152
Doc_10,Mumbai,Pulmonologist,Diabetes,Metformin,38
Doc_10,Mumbai,Pulmonologist,Cancer,Paclitaxel,169
Doc_10,Mumbai,Pulmonologist,Asthma,Montelukast,196
Doc_10,Mumbai,Pulmonologist,Heart Disease,Aspirin,95
Doc_11,Lucknow,Dermatologist,Diabetes,Glipizide,340
Doc_12,Kolkata,Pulmonologist,Skin Infection,Amoxicillin,130
Doc_13,Jaipur,General Physician,Cancer,Paclitaxel,161
Doc_13,Jaipur,General Physician,Skin Infection,Clindamycin,324
Doc_13,Jaipur,General Physician,Hypertension,Amlodipine,169
Doc_14,Bangalore,Cardiologist,Heart Disease,Atorvastatin,122
Doc_15,Mumbai,Endocrinologist,Liver Disease,Silymarin,139
Doc_15,Mumbai,Endocrinologist,Hypertension,Losartan,181
Doc_16,Hyderabad,Gastroenterologist,Heart Disease,Aspirin,334
Doc_16,Hyderabad,Gastroenterologist,Skin Infection,Clindamycin,207
Doc_16,Hyderabad,Gastroenterologist,Hypertension,Metoprolol,404
Doc_16,Hyderabad,Gastroenterologist,Stroke,Alteplase,249
Doc_17,Jaipur,Pulmonologist,Diabetes,Glipizide,412
Doc_17,Jaipur,Pulmonologist,Hypertension,Metoprolol,460
Doc_17,Jaipur,Pulmonologist,Liver Disease,Tenofovir,156
Doc_18,Bangalore,Cardiologist,Stroke,Warfarin,443
Doc_19,Lucknow,General Physician,Asthma,Budesonide,394
Doc_19,Lucknow,General Physician,Cancer,Cisplatin,149
Doc_19,Lucknow,General Physician,Stroke,Warfarin,46
Doc_19,Lucknow,General Physician,Heart Disease,Atorvastatin,18
Doc_20,Delhi,General Physician,Heart Disease,Aspirin,429
Doc_20,Delhi,General Physician,Hypertension,Losartan,113
Doc_20,Delhi,General Physician,Cancer,Doxorubicin,236
Doc_21,Jaipur,General Physician,Asthma,Salbutamol,217
Doc_22,Jaipur,Pulmonologist,Hypertension,Amlodipine,410
Doc_23,Delhi,Neurologist,Heart Disease,Clopidogrel,106
Doc_23,Delhi,Neurologist,Skin Infection,Amoxicillin,457
Doc_23,Delhi,Neurologist,Diabetes,Metformin,462
Doc_23,Delhi,Neurologist,Hypertension,Metoprolol,313
